major,course,related
Animal Training,"[u'Biology', u'Ecology', u'Ethics', u'Psychology', u'Statistics']","[u'Agricultural and Domestic Animal Services', u'Agricultural and Food Products Processing', u'Applied Horticulture and Horticultural Business Services', u'Dog/Pet/Animal Grooming', u'Equestrian/Equine Studies', u'Greenhouse Operations and Management', u'Ornamental Horticulture', u'Taxidermy/Taxidermist', u'Viticulture and Enology']"
Dog/Pet/Animal Grooming,"[u'Health', u'Pet Grooming/Styling', u'Safety']","[u'Agricultural and Domestic Animal Services', u'Agricultural and Food Products Processing', u'Animal Training', u'Applied Horticulture and Horticultural Business Services', u'Equestrian/Equine Studies', u'Greenhouse Operations and Management', u'Ornamental Horticulture', u'Taxidermy/Taxidermist', u'Viticulture and Enology']"
Equestrian/Equine Studies,"[u'Equine Nutrition', u'Management', u'Rider Instruction Training']","[u'Agricultural and Domestic Animal Services', u'Agricultural and Food Products Processing', u'Animal Training', u'Applied Horticulture and Horticultural Business Services', u'Dog/Pet/Animal Grooming', u'Greenhouse Operations and Management', u'Ornamental Horticulture', u'Taxidermy/Taxidermist', u'Viticulture and Enology']"
Taxidermy/Taxidermist,[],"[u'Agricultural and Domestic Animal Services', u'Agricultural and Food Products Processing', u'Animal Training', u'Applied Horticulture and Horticultural Business Services', u'Dog/Pet/Animal Grooming', u'Equestrian/Equine Studies', u'Greenhouse Operations and Management', u'Ornamental Horticulture', u'Viticulture and Enology']"
Agricultural and Food Products Processing,"[u'Agricultural and Food Products Processing', u'Biology', u'Engineering', u'Physical Sciences']","[u'Agricultural and Domestic Animal Services', u'Animal Training', u'Applied Horticulture and Horticultural Business Services', u'Dog/Pet/Animal Grooming', u'Equestrian/Equine Studies', u'Greenhouse Operations and Management', u'Ornamental Horticulture', u'Taxidermy/Taxidermist', u'Viticulture and Enology']"
Agribusiness/Agricultural Business Operations,"[u'Accounting', u'Economics', u'Finance', u'Information Technology']","[u'Agricultural Business Technology', u'Agricultural Economics', u'Agricultural Mechanization', u'Agricultural Power Machinery Operation', u'Agricultural/Farm Supplies Retailing and Wholesaling', u'Farm/Farm and Ranch Management']"
Agricultural Business and Management,"[u'Algebra', u'Crop Management', u'Economics', u'Finance', u'Marketing']","[u'Agricultural Business and Management', u'Agriculture, Agriculture Operations, and Related Sciences']"
Agricultural Business Technology,"[u'Algebra', u'Crop Management', u'Economics', u'Finance', u'Marketing']","[u'Agribusiness/Agricultural Business Operations', u'Agricultural Economics', u'Agricultural Mechanization', u'Agricultural Power Machinery Operation', u'Agricultural/Farm Supplies Retailing and Wholesaling', u'Farm/Farm and Ranch Management']"
Agricultural Economics,"[u'Economics', u'Finance', u'Law', u'Leadership', u'Marketing']","[u'Agribusiness/Agricultural Business Operations', u'Agricultural Business Technology', u'Agricultural Mechanization', u'Agricultural Power Machinery Operation', u'Agricultural/Farm Supplies Retailing and Wholesaling', u'Farm/Farm and Ranch Management']"
Agricultural/Farm Supplies Retailing and Wholesaling,"[u'Business', u'Economics', u'Management', u'Marketing']","[u'Agribusiness/Agricultural Business Operations', u'Agricultural Business Technology', u'Agricultural Economics', u'Agricultural Mechanization', u'Agricultural Power Machinery Operation', u'Farm/Farm and Ranch Management']"
Farm/Farm and Ranch Management,"[u'Accounting', u'Budgeting ', u'Law', u'Management', u'Taxation']","[u'Agribusiness/Agricultural Business Operations', u'Agricultural Business Technology', u'Agricultural Economics', u'Agricultural Mechanization', u'Agricultural Power Machinery Operation', u'Agricultural/Farm Supplies Retailing and Wholesaling']"
Agricultural Mechanics and Equipment/Machine Technology,"[u'Algebra', u'Engineering', u'Maintenance']","[u'Agricultural Mechanization', u'Agricultural Power Machinery Operation']"
Agricultural Mechanization,"[u'Chemistry', u'Computer Science', u'Economics', u'Engineering', u'Management', u'Mechanization', u'Physics']","[u'Agribusiness/Agricultural Business Operations', u'Agricultural Business Technology', u'Agricultural Economics', u'Agricultural Mechanization', u'Agricultural Power Machinery Operation', u'Agricultural/Farm Supplies Retailing and Wholesaling', u'Farm/Farm and Ranch Management']"
Agricultural Power Machinery Operation,"[u'Applied Physics', u'Construction', u'English', u'Hydraulics', u'Machinery Management', u'Math']","[u'Agribusiness/Agricultural Business Operations', u'Agricultural Business Technology', u'Agricultural Economics', u'Agricultural Mechanization', u'Agricultural/Farm Supplies Retailing and Wholesaling', u'Farm/Farm and Ranch Management']"
Agricultural Production Operations,"[u'Accounting', u'Economics', u'Operations Management']","[u'Agricultural Production Operations', u'Animal/Livestock Husbandry and Production', u'Aquaculture', u'Crop Production', u'Dairy Husbandry and Production', u'Horse Husbandry/Equine Science and Management']"
Agroecology and Sustainable Agriculture,"[u'Anatomy ', u'Ecology', u'Entomology', u'Genetics', u'Microbiology', u'Soil Science']","[u'Agricultural Production Operations', u'Animal/Livestock Husbandry and Production', u'Aquaculture', u'Crop Production', u'Dairy Husbandry and Production', u'Horse Husbandry/Equine Science and Management', u'Viticulture and Enology']"
Animal/Livestock Husbandry and Production,"[u'Biology', u'Chemistry', u'Ecology', u'Mathematics', u'Physics']","[u'Agricultural Production Operations', u'Aquaculture', u'Crop Production', u'Dairy Husbandry and Production', u'Horse Husbandry/Equine Science and Management']"
Aquaculture,"[u'Biology', u'Chemistry', u'Ecology', u'Mathematics', u'Physiology']","[u'Agricultural Production Operations', u'Animal/Livestock Husbandry and Production', u'Crop Production', u'Dairy Husbandry and Production', u'Horse Husbandry/Equine Science and Management']"
Crop Production,"[u'Accounting', u'Harvest Operations', u'Health', u'Marketing', u'Nutrition', u'Plant Science', u'Supply Management']","[u'Agricultural Production Operations', u'Animal/Livestock Husbandry and Production', u'Aquaculture', u'Dairy Husbandry and Production', u'Horse Husbandry/Equine Science and Management']"
Dairy Husbandry and Production,"[u'Animal Science', u'Health', u'Nutrition', u'Safety', u'Sanitation Principles']","[u'Agricultural Production Operations', u'Animal/Livestock Husbandry and Production', u'Aquaculture', u'Crop Production', u'Horse Husbandry/Equine Science and Management']"
Horse Husbandry/Equine Science and Management,"[u'Equine Anatomy', u'Equine Physiology', u'Equine Science', u'Farrier Science', u'Stable Management', u'Western Horsemanship']","[u'Agricultural Production Operations', u'Animal/Livestock Husbandry and Production', u'Aquaculture', u'Crop Production', u'Dairy Husbandry and Production']"
Viticulture and Enology,[],"[u'Agricultural and Domestic Animal Services', u'Agricultural and Food Products Processing', u'Animal Training', u'Applied Horticulture and Horticultural Business Services', u'Dog/Pet/Animal Grooming', u'Equestrian/Equine Studies', u'Greenhouse Operations and Management', u'Ornamental Horticulture', u'Taxidermy/Taxidermist']"
Agricultural and Extension Education Services,"[u'Agronomy', u'Biology', u'Farm Business Management', u'Forestry', u'Horticulture', u'Leadership Studies']","[u'Agricultural Animal Breeding', u'Agricultural Communication/Journalism', u'Agricultural Public Services', u'Animal Health', u'Animal Nutrition', u'Animal Sciences', u'Dairy Science', u'International Agriculture']"
Agricultural Communication/Journalism,"[u'Advertising', u'Broadcasting', u'Business Communication', u'Editing', u'Media Planning', u'Newswriting', u'Reporting']","[u'Agricultural and Extension Education Services', u'Agricultural Animal Breeding', u'Agricultural Public Services', u'Animal Health', u'Animal Nutrition', u'Animal Sciences', u'Dairy Science', u'International Agriculture']"
Agricultural Animal Breeding,"[u'Anatomy', u'Biochemistry', u'Biology', u'Physiology']","[u'Agricultural and Extension Education Services', u'Agricultural Communication/Journalism', u'Agricultural Public Services', u'Animal Health', u'Animal Nutrition', u'Animal Sciences', u'Dairy Science', u'International Agriculture']"
Animal Health,"[u'Biology', u'Chemistry', u'Ecology', u'Physiology', u'Psychology']","[u'Agricultural and Extension Education Services', u'Agricultural Animal Breeding', u'Agricultural Communication/Journalism', u'Agricultural Public Services', u'Animal Nutrition', u'Animal Sciences', u'Dairy Science', u'International Agriculture']"
Animal Nutrition,"[u'Biology', u'Chemistry', u'Ecology', u'Nutrition', u'Physiology', u'Psychology']","[u'Agricultural and Extension Education Services', u'Agricultural Animal Breeding', u'Agricultural Communication/Journalism', u'Agricultural Public Services', u'Animal Health', u'Animal Sciences', u'Dairy Science', u'International Agriculture']"
Animal Sciences,"[u'Biology', u'Chemistry', u'Mathematics', u'Plant Sciences']","[u'Agricultural and Extension Education Services', u'Agricultural Animal Breeding', u'Agricultural Communication/Journalism', u'Agricultural Public Services', u'Animal Health', u'Animal Nutrition', u'Animal Sciences', u'Dairy Science', u'International Agriculture']"
Dairy Science,"[u'Animal Science', u'Biochemistry', u'Food Science', u'Nutrition Science']","[u'Agricultural and Extension Education Services', u'Agricultural Animal Breeding', u'Agricultural Communication/Journalism', u'Agricultural Public Services', u'Animal Health', u'Animal Nutrition', u'Animal Sciences', u'International Agriculture']"
Livestock Management,"[u'Biochemistry', u'Food Sciences', u'Health', u'Management', u'Nutrition']","[u'Food Science and Technology', u'Poultry Science']"
Poultry Science,[],"[u'Food Science and Technology', u'Livestock Management']"
Applied Horticulture/Horticulture Operations,"[u'Algebra', u'Biology', u'Chemistry', u'Economics', u'Entomology']","[u'Agricultural and Domestic Animal Services', u'Agricultural and Food Products Processing', u'Animal Training', u'Applied Horticulture and Horticultural Business Services', u'Dog/Pet/Animal Grooming', u'Equestrian/Equine Studies', u'Greenhouse Operations and Management', u'Ornamental Horticulture', u'Taxidermy/Taxidermist', u'Viticulture and Enology']"
Floriculture/Floristry Operations and Management,"[u'Horticulture', u'Management']",[u'Turf and Turfgrass Management']
Greenhouse Operations and Management,"[u'Entomology', u'Floral Design', u'Horticulture', u'Management', u'Microcomputer Skills', u'Plant Pathology']","[u'Agricultural and Domestic Animal Services', u'Agricultural and Food Products Processing', u'Animal Training', u'Applied Horticulture and Horticultural Business Services', u'Dog/Pet/Animal Grooming', u'Equestrian/Equine Studies', u'Ornamental Horticulture', u'Taxidermy/Taxidermist', u'Viticulture and Enology']"
Landscaping and Groundskeeping,"[u'Gardening', u'Horticulture', u'Irrigation', u'Plant Maintenance', u'Plant Nutrition', u'Turf Maintenance']",[u'Plant Nursery Operations and Management']
Ornamental Horticulture,[],"[u'Agricultural and Domestic Animal Services', u'Agricultural and Food Products Processing', u'Animal Training', u'Applied Horticulture and Horticultural Business Services', u'Dog/Pet/Animal Grooming', u'Equestrian/Equine Studies', u'Greenhouse Operations and Management', u'Taxidermy/Taxidermist', u'Viticulture and Enology']"
Plant Nursery Operations and Management,[],[u'Landscaping and Groundskeeping']
Turf and Turfgrass Management,[],[u'Floriculture/Floristry Operations and Management']
Food Science,"[u'Agricultural Sciences', u'Biology', u'Chemistry', u'Health', u'Nutrition', u'Pathology', u'Physiology', u'Toxicology']","[u'Agricultural and Horticultural Plant Breeding', u'Agronomy and Crop Science', u'Food Technology and Processing', u'Horticultural Science', u'Plant Sciences']"
Food Technology and Processing,"[u'Culinary Arts', u'Design', u'Engineering', u'Food Handling', u'Management']","[u'Agricultural and Horticultural Plant Breeding', u'Agronomy and Crop Science', u'Food Science', u'Horticultural Science', u'Plant Sciences']"
International Agriculture,"[u'Agricultural Food Systems', u'Biology', u'Economics', u'Ecosystem Studies']","[u'Agricultural and Extension Education Services', u'Agricultural Animal Breeding', u'Agricultural Communication/Journalism', u'Agricultural Public Services', u'Animal Health', u'Animal Nutrition', u'Animal Sciences', u'Dairy Science']"
Agricultural and Horticultural Plant Breeding,"[u'Agronomy', u'Biology', u'Forestry', u'Genetics', u'Horticulture', u'Statistics']","[u'Agronomy and Crop Science', u'Food Science', u'Food Technology and Processing', u'Horticultural Science', u'Plant Sciences']"
Agronomy and Crop Science,"[u'Biotechnology', u'Chemistry', u'Crop Management', u'Genetics', u'Soil Science']","[u'Agricultural and Horticultural Plant Breeding', u'Food Science', u'Food Technology and Processing', u'Horticultural Science', u'Plant Sciences']"
Horticultural Science,"[u'Greenhouse Management', u'Interior Plantscapes', u'Nursery Management', u'Plant Propagation', u'Residential Landscaping']","[u'Agricultural and Horticultural Plant Breeding', u'Agronomy and Crop Science', u'Food Science', u'Food Technology and Processing', u'Plant Sciences']"
Plant Protection and Integrated Pest Management,[],"[u'Range Science and Management', u'Soil Chemistry and Physics', u'Soil Microbiology', u'Soil Sciences']"
Plant Sciences,[],"[u'Agricultural and Horticultural Plant Breeding', u'Agronomy and Crop Science', u'Food Science', u'Food Technology and Processing', u'Horticultural Science', u'Plant Sciences']"
Range Science and Management,[],"[u'Plant Protection and Integrated Pest Management', u'Soil Chemistry and Physics', u'Soil Microbiology', u'Soil Sciences']"
Soil Chemistry and Physics,[],"[u'Plant Protection and Integrated Pest Management', u'Range Science and Management', u'Soil Microbiology', u'Soil Sciences']"
Soil Microbiology,[],"[u'Plant Protection and Integrated Pest Management', u'Range Science and Management', u'Soil Chemistry and Physics', u'Soil Sciences']"
Soil Science and Agronomy,[],"[u'Plant Protection and Integrated Pest Management', u'Range Science and Management', u'Soil Chemistry and Physics', u'Soil Microbiology', u'Soil Sciences']"
Architectural History and Criticism,"[u'Design', u'English', u'History']","[u'Architectural History and Criticism', u'Architectural Sciences and Technology', u'Architectural Technology/Technician', u'Landscape Architecture']"
Architectural and Building Sciences/Technology,"[u'3D Modeling', u'Art', u'Drafting', u'English', u'Mathematics', u'Physics', u'Working Drawings']","[u'African Studies', u'American/United States Studies/Civilization', u'Area Studies', u'Area, Ethnic, Cultural, Gender, and Group Studies', u'Asian Studies/Civilization', u'East Asian Studies', u'Real Estate Development']"
